compound,headgroup,chain1_n,chain2_n,formula,adduct,target_mz,row_id,observed_mz,ppm_error,rt_min,has_ms2,is_isf,total_scans,dedup_group_id,sirius_formula,sirius_structure_name,sirius_npc_class
diacyl-ornithine-3OH-C17:0/C10:0,ornithine,17,10,C32H62N2O5,[M+Na]+,577.4550937987001,3888,577.4454,-16.78710397439204,5.938155,True,False,21,asid_3888,,,
diacyl-ornithine-3OH-C17:0/C10:0,ornithine,17,10,C32H62N2O5,[M+Na]+,577.4550937987001,32746,577.4654,17.84762384232623,5.628,True,False,8,asid_32746,,,
diacyl-lysine-3OH-C14:0/C12:0,lysine,14,12,C32H62N2O5,[M+Na]+,577.4550937987001,3888,577.4454,-16.78710397439204,5.938155,True,False,21,asid_3888,,,
diacyl-lysine-3OH-C14:0/C12:0,lysine,14,12,C32H62N2O5,[M+Na]+,577.4550937987001,32746,577.4654,17.84762384232623,5.628,True,False,8,asid_32746,,,
diacyl-lysine-3OH-C10:0/C16:0,lysine,10,16,C32H62N2O5,[M+Na]+,577.4550937987001,3888,577.4454,-16.78710397439204,5.938155,True,False,21,asid_3888,,,
diacyl-lysine-3OH-C10:0/C16:0,lysine,10,16,C32H62N2O5,[M+Na]+,577.4550937987001,32746,577.4654,17.84762384232623,5.628,True,False,8,asid_32746,,,
diacyl-lysine-3OH-C16:0/C10:0,lysine,16,10,C32H62N2O5,[M+Na]+,577.4550937987001,3888,577.4454,-16.78710397439204,5.938155,True,False,21,asid_3888,,,
diacyl-lysine-3OH-C16:0/C10:0,lysine,16,10,C32H62N2O5,[M+Na]+,577.4550937987001,32746,577.4654,17.84762384232623,5.628,True,False,8,asid_32746,,,
diacyl-ornithine-3OH-C15:0/C12:0,ornithine,15,12,C32H62N2O5,[M+Na]+,577.4550937987001,3888,577.4454,-16.78710397439204,5.938155,True,False,21,asid_3888,,,
diacyl-ornithine-3OH-C15:0/C12:0,ornithine,15,12,C32H62N2O5,[M+Na]+,577.4550937987001,32746,577.4654,17.84762384232623,5.628,True,False,8,asid_32746,,,
diacyl-ornithine-3OH-C10:0/C17:0,ornithine,10,17,C32H62N2O5,[M+Na]+,577.4550937987001,3888,577.4454,-16.78710397439204,5.938155,True,False,21,asid_3888,,,
diacyl-ornithine-3OH-C10:0/C17:0,ornithine,10,17,C32H62N2O5,[M+Na]+,577.4550937987001,32746,577.4654,17.84762384232623,5.628,True,False,8,asid_32746,,,
diacyl-ornithine-3OH-C12:0/C15:0,ornithine,12,15,C32H62N2O5,[M+Na]+,577.4550937987001,3888,577.4454,-16.78710397439204,5.938155,True,False,21,asid_3888,,,
diacyl-ornithine-3OH-C12:0/C15:0,ornithine,12,15,C32H62N2O5,[M+Na]+,577.4550937987001,32746,577.4654,17.84762384232623,5.628,True,False,8,asid_32746,,,
diacyl-ornithine-3OH-C18:0/C10:0,ornithine,18,10,C33H64N2O5,[M+Na]+,591.4707438625001,49972,591.4609,-16.64302520820592,5.938155,True,False,9,asid_49972,,,
diacyl-lysine-3OH-C17:0/C10:0,lysine,17,10,C33H64N2O5,[M+Na]+,591.4707438625001,49972,591.4609,-16.64302520820592,5.938155,True,False,9,asid_49972,,,
diacyl-lysine-3OH-C12:0/C15:0,lysine,12,15,C33H64N2O5,[M+Na]+,591.4707438625001,49972,591.4609,-16.64302520820592,5.938155,True,False,9,asid_49972,,,
diacyl-lysine-3OH-C10:0/C17:0,lysine,10,17,C33H64N2O5,[M+Na]+,591.4707438625001,49972,591.4609,-16.64302520820592,5.938155,True,False,9,asid_49972,,,
diacyl-lysine-3OH-C15:0/C12:0,lysine,15,12,C33H64N2O5,[M+Na]+,591.4707438625001,49972,591.4609,-16.64302520820592,5.938155,True,False,9,asid_49972,,,
diacyl-ornithine-3OH-C14:0/C14:0,ornithine,14,14,C33H64N2O5,[M+Na]+,591.4707438625001,49972,591.4609,-16.64302520820592,5.938155,True,False,9,asid_49972,,,
diacyl-ornithine-3OH-C16:0/C12:0,ornithine,16,12,C33H64N2O5,[M+Na]+,591.4707438625001,49972,591.4609,-16.64302520820592,5.938155,True,False,9,asid_49972,,,
diacyl-ornithine-3OH-C12:0/C16:0,ornithine,12,16,C33H64N2O5,[M+Na]+,591.4707438625001,49972,591.4609,-16.64302520820592,5.938155,True,False,9,asid_49972,,,
diacyl-ornithine-3OH-C10:0/C18:0,ornithine,10,18,C33H64N2O5,[M+Na]+,591.4707438625001,49972,591.4609,-16.64302520820592,5.938155,True,False,9,asid_49972,,,
diacyl-ornithine-3OH-C18:0/C15:0,ornithine,18,15,C38H74N2O5,[M+NH4]+,656.5935990343,7383,656.5869,-10.202710336926538,1.84274,True,False,36,asid_7383,,,
diacyl-ornithine-3OH-C15:0/C18:0,ornithine,15,18,C38H74N2O5,[M+NH4]+,656.5935990343,7383,656.5869,-10.202710336926538,1.84274,True,False,36,asid_7383,,,
diacyl-lysine-3OH-C14:0/C18:0,lysine,14,18,C38H74N2O5,[M+NH4]+,656.5935990343,7383,656.5869,-10.202710336926538,1.84274,True,False,36,asid_7383,,,
diacyl-ornithine-3OH-C16:0/C17:0,ornithine,16,17,C38H74N2O5,[M+NH4]+,656.5935990343,7383,656.5869,-10.202710336926538,1.84274,True,False,36,asid_7383,,,
diacyl-ornithine-3OH-C17:0/C16:0,ornithine,17,16,C38H74N2O5,[M+NH4]+,656.5935990343,7383,656.5869,-10.202710336926538,1.84274,True,False,36,asid_7383,,,
diacyl-lysine-3OH-C17:0/C15:0,lysine,17,15,C38H74N2O5,[M+NH4]+,656.5935990343,7383,656.5869,-10.202710336926538,1.84274,True,False,36,asid_7383,,,
diacyl-lysine-3OH-C18:0/C14:0,lysine,18,14,C38H74N2O5,[M+NH4]+,656.5935990343,7383,656.5869,-10.202710336926538,1.84274,True,False,36,asid_7383,,,
diacyl-lysine-3OH-C15:0/C17:0,lysine,15,17,C38H74N2O5,[M+NH4]+,656.5935990343,7383,656.5869,-10.202710336926538,1.84274,True,False,36,asid_7383,,,
diacyl-lysine-3OH-C16:0/C16:0,lysine,16,16,C38H74N2O5,[M+NH4]+,656.5935990343,7383,656.5869,-10.202710336926538,1.84274,True,False,36,asid_7383,,,
