compound,headgroup,chain1_n,chain2_n,formula,neutral_mass,adduct,target_mz
diacyl-lysine-3OH-C10:0/C18:0,lysine,10,18,C34H66N2O5,582.4971732263,[M+H]+,583.5044496782
diacyl-lysine-3OH-C18:0/C10:0,lysine,18,10,C34H66N2O5,582.4971732263,[M+H]+,583.5044496782
diacyl-ornithine-3OH-C18:0/C10:0,ornithine,18,10,C33H64N2O5,568.4815231625,[M+NH4]+,586.5153487153
diacyl-lysine-3OH-C10:0/C17:0,lysine,10,17,C33H64N2O5,568.4815231625,[M+NH4]+,586.5153487153
diacyl-lysine-3OH-C15:0/C12:0,lysine,15,12,C33H64N2O5,568.4815231625,[M+NH4]+,586.5153487153
diacyl-lysine-3OH-C12:0/C15:0,lysine,12,15,C33H64N2O5,568.4815231625,[M+NH4]+,586.5153487153
diacyl-ornithine-3OH-C14:0/C14:0,ornithine,14,14,C33H64N2O5,568.4815231625,[M+NH4]+,586.5153487153
diacyl-ornithine-3OH-C10:0/C18:0,ornithine,10,18,C33H64N2O5,568.4815231625,[M+NH4]+,586.5153487153
diacyl-lysine-3OH-C17:0/C10:0,lysine,17,10,C33H64N2O5,568.4815231625,[M+NH4]+,586.5153487153
diacyl-ornithine-3OH-C16:0/C12:0,ornithine,16,12,C33H64N2O5,568.4815231625,[M+NH4]+,586.5153487153
diacyl-ornithine-3OH-C12:0/C16:0,ornithine,12,16,C33H64N2O5,568.4815231625,[M+NH4]+,586.5153487153
diacyl-ornithine-3OH-C18:0/C10:0,ornithine,18,10,C33H64N2O5,568.4815231625,[M+Na]+,591.4707438625001
diacyl-lysine-3OH-C17:0/C10:0,lysine,17,10,C33H64N2O5,568.4815231625,[M+Na]+,591.4707438625001
diacyl-lysine-3OH-C12:0/C15:0,lysine,12,15,C33H64N2O5,568.4815231625,[M+Na]+,591.4707438625001
diacyl-lysine-3OH-C10:0/C17:0,lysine,10,17,C33H64N2O5,568.4815231625,[M+Na]+,591.4707438625001
